number of goals,team,month,day,hour,day of week,possession,possession in contest,total attempts,conceded,goal inside the penalty area,goal outside the penalty area,assists,on target attempts,off target attempts,attempts inside the penalty area,attempts outside the penalty area,left channel,left inside channel,central channel,right inside channel,right channel,total offers to receive,inbehind offers to receive,inbetween offers to receive,infront offers to receive,receptions between midfield and defensive lines,attempted line breaks,completed line breaks,attempted defensive line breaks,completed defensive line breaks,yellow cards,red cards,fouls against,offsides,passes,passes completed,crosses,crosses completed,switches of play completed,corners,free kicks,penalties scored,goal preventions,own goals,forced turnovers,defensive pressures applied
0,SWITZERLAND,11,28,17,0,0.43,0.11,8.0,0.0,1.0,0.0,1.0,3.0,4.0,0.0,2.0,19.0,2.0,11.0,6.0,16.0,609.0,153.0,256.0,200.0,13.0,178.0,0.0,21.0,0.0,2.0,0.0,12.0,2.0,497.0,437.0,28.0,6.0,4.0,11.0,11.0,0.0,7.0,0.0,64.0,313.0
1,BRAZIL,11,28,17,0,0.53,0.13,24.0,0.0,2.0,0.0,1.0,10.0,9.0,0.0,13.0,14.0,9.0,10.0,7.0,20.0,727.0,144.0,275.0,308.0,11.0,184.0,0.0,16.0,0.0,0.0,0.0,7.0,1.0,585.0,526.0,19.0,3.0,6.0,6.0,12.0,0.0,4.0,0.0,72.0,236.0
2,PORTUGAL,11,28,20,0,0.55,0.1,11.0,2.0,3.0,0.0,2.0,5.0,3.0,0.0,4.0,24.0,6.0,7.0,4.0,10.0,762.0,168.0,308.0,286.0,20.0,198.0,0.0,26.0,0.0,2.0,0.0,14.0,1.0,636.0,573.0,17.0,4.0,13.0,3.0,19.0,1.0,8.0,0.0,70.0,286.0
0,URUGUAY,11,28,20,0,0.49,0.13,10.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,13.0,4.0,4.0,6.0,14.0,566.0,157.0,155.0,254.0,4.0,146.0,0.0,16.0,0.0,1.0,0.0,7.0,1.0,528.0,459.0,16.0,4.0,10.0,4.0,10.0,0.0,6.0,0.0,65.0,240.0
2,NETHERLANDS,11,29,16,1,0.48,0.13,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,8.0,8.0,2.0,4.0,11.0,632.0,129.0,267.0,236.0,4.0,168.0,0.0,9.0,0.0,0.0,0.0,15.0,1.0,524.0,451.0,8.0,0.0,6.0,2.0,16.0,0.0,14.0,0.0,85.0,254.0
0,QATAR,11,29,16,1,0.42,0.1,10.0,3.0,1.0,0.0,1.0,2.0,7.0,0.0,6.0,7.0,5.0,2.0,5.0,11.0,511.0,109.0,199.0,203.0,9.0,174.0,0.0,13.0,0.0,3.0,0.0,7.0,4.0,424.0,353.0,18.0,5.0,12.0,6.0,15.0,0.0,12.0,0.0,67.0,308.0
2,SENEGAL,11,29,16,1,0.48,0.1,12.0,1.0,3.0,0.0,2.0,4.0,6.0,10.0,2.0,26.0,4.0,6.0,4.0,18.0,553.0,136.0,190.0,227.0,12.0,184.0,113.0,19.0,9.0,3.0,0.0,12.0,3.0,511.0,445.0,20.0,6.0,9.0,7.0,11.0,0.0,11.0,0.0,67.0,232.0
1,ECUADOR,11,29,16,1,0.39,0.13,13.0,1.0,1.0,0.0,0.0,5.0,3.0,8.0,5.0,10.0,5.0,2.0,5.0,4.0,541.0,86.0,276.0,179.0,12.0,155.0,84.0,22.0,10.0,1.0,0.0,12.0,4.0,425.0,345.0,22.0,4.0,2.0,5.0,16.0,0.0,2.0,0.0,52.0,279.0
0,WALES,11,29,20,1,0.51,0.16,10.0,2.0,0.0,0.0,0.0,3.0,4.0,0.0,5.0,18.0,3.0,8.0,11.0,13.0,722.0,135.0,286.0,301.0,13.0,208.0,0.0,17.0,0.0,1.0,1.0,9.0,2.0,508.0,413.0,20.0,5.0,13.0,2.0,12.0,0.0,21.0,0.0,89.0,161.0
3,ENGLAND,11,29,20,1,0.51,0.09,8.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,2.0,11.0,2.0,7.0,5.0,11.0,676.0,116.0,290.0,270.0,10.0,208.0,0.0,23.0,0.0,0.0,0.0,9.0,1.0,550.0,488.0,13.0,4.0,9.0,3.0,15.0,0.0,10.0,0.0,52.0,266.0
